"State","concealedCarry"
"Alabama","shall_issue"
"Alaska","consitutional_carry"
"Arizona","consitutional_carry_all"
"Arkansas","shall_issue_all"
"California","may_issue"
"Colorado","shall_issue"
"Connecticut","may_issue_all"
"Delaware","may_issue"
"Florida","shall_issue_all"
"Georgia","shall_issue"
"Hawaii","may_issue_all"
"Idaho","shall_issue_all"
"Illinois","shall_issue_all"
"Indiana","shall_issue_all"
"Iowa","shall_issue_all"
"Kansas","consitutional_carry_all"
"Kentucky","shall_issue_all"
"Louisiana","shall_issue"
"Maine","consitutional_carry_all"
"Maryland","may_issue_all"
"Massachusetts","may_issue_all"
"Michigan","shall_issue"
"Minnesota","shall_issue_all"
"Mississippi","consitutional_carry_all"
"Missouri","consitutional_carry_all"
"Montana","shall_issue"
"Nebraska","shall_issue_all"
"Nevada","shall_issue_all"
"New Hampshire","consitutional_carry_all"
"New Jersey","may_issue_all"
"New Mexico","shall_issue_all"
"New York","may_issue_all"
"North Carolina","shall_issue_all"
"North Dakota","shall_issue_all"
"Ohio","shall_issue_all"
"Oklahoma","shall_issue_all"
"Oregon","shall_issue_all"
"Pennsylvania","shall_issue_all"
"Puerto Rico","shall_issue_all"
"Rhode Island","shall_issue_all"
"South Carolina","shall_issue_all"
"South Dakota","shall_issue_all"
"Tennessee","shall_issue_all"
"Texas","shall_issue_all"
"Utah","shall_issue_all"
"Vermont","no_permit"
"Virginia","shall_issue_all"
"Washington","shall_issue_all"
"West Virginia","consitutional_carry"
"Wisconsin","shall_issue_all"
"Wyoming","shall_issue"